siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility
abei,"Aberdeen, Idaho Weather Station",ID,42.953333,-112.82667,1341.0,US/Mountain,3/20/1991,,m,0,agrimet_map,,,agrimet,noaa
acki,"INL - Blackfoot,  Idaho  Weather Station",ID,43.18985,-112.3332,1377.696,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa
afty,"Afton, Wyoming AgriMet Weather Station",WY,42.73333,-110.93583,1892.81,US/Mountain,11/1/1980,,m,0,agrimet_map,,,agrimet,pnro
agko,"Agency Lake Ranch, Oregon AgriMet Weather Station",OR,42.56527,-121.9825,1264.92,US/Pacific,5/3/2000,,m,0,agrimet_map,,,agrimet,pnro
ahti,"Ashton, Idaho AgriMet Weather Station",ID,44.025,-111.46666,1615.44,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro
anvn,"DRI - Antelope Valley, Nevada Weather Station",NV,40.093889,-117.168889,1484.6808,US/Pacific,6/11/2011,,m,0,agrimet_map,,,agrimet,dri
arao,"Aurora, Oregon AgriMet Weather Station",OR,45.28194,-122.75027,42.67,US/Pacific,10/22/1998,,m,0,agrimet_map,,,agrimet,pnro
bano,"Bandon, Oregon AgriMet Weather Station",OR,43.09111,-124.41722,24.38,US/Pacific,5/1/1985,,m,0,agrimet_map,,,agrimet,pnro
bato,"Beatty, Oregon AgriMet Weather Station",OR,42.47805,-121.27388,1316.74,US/Pacific,10/19/2004,,m,0,agrimet_map,,,agrimet,pnro
bewo,"Bend, Oregon AgriMet Weather Station",OR,44.0475,-121.32027,1103.38,US/Pacific,5/1/2003,,m,0,agrimet_map,,,agrimet,pnro
bfam,"Blackfeet-Seville Colony, MT (BFAM)",MT,48.67539978,-112.5886993,,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains
bfgi,Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,800.0,US/Mountain,8/15/2013,,m,0,agrimet_map,,,agrimet,pnro
bftm,"Big Flat - Turner, MT (BFTM)",MT,48.83568192,-108.5636673,,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains
bkvo,"Baker Valley, Oregon Agrimet Weather Station",OR,44.88277,-117.96277,1042.42,US/Pacific,4/1/2001,,m,0,agrimet_map,,,agrimet,pnro
blcu,"UCC - Blue Creek, Utah Weather Station",UT,41.962167,-112.491167,1575.816,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc
bndw,"Bonneville Dam AgriMet, Washington AgriMet Weather Station",WA,45.64777,-121.93111,24.38,US/Pacific,4/13/2002,,m,0,agrimet_map,,,agrimet,pnro
boii,"Boise, Idaho AgriMet Weather Station",ID,43.60027,-116.17694,829.06,US/Mountain,7/26/1995,,m,0,agrimet_map,,,agrimet,pnro
bomt,"Broken-O Ranch, MT (BOMT)",MT,47.51954651,-112.2359009,,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains
bozm,"Bozeman, MT (BOZM)",MT,45.67301559,-111.1546249,,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains
